Component,Ag,Al,B,Ba,Bi,C,Ca,Fe,Hf,Ho,K,Li,Mn,Na,Nb,O,Pr,Sb,Sc,Sr,Ta,Ti,Zn,Zr,Avg_AtomicMass,Avg_AtomicRadius,Avg_Electronegativity,Avg_Valence,d33 (pC/N)
KNbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.001999999999995,110.6,2.548,4.8,66.4
Na0.55K0.45NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.55,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2299,106.09,2.5601,4.8,141.3
0.965K0.45Na0.55Nb0.93Sb0.07O3-0.035Bi0.5Na0.5HfO3,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.035,0.0,0.43424999999999997,0.0,0.0,0.54825,0.89745,3.0,0.0,0.06755,0.0,0.0,0.0,0.0,0.0,0.0,35.81894200000001,105.86579000000002,2.5682410000000004,4.807000000000001,408.0
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035Bi0.5Na0.5HfO3,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.035,0.0,0.43424999999999997,0.0,0.0,0.54825,0.9263999999999999,3.0,0.0,0.0386,0.0,0.0,0.0,0.0,0.0,0.0,35.6519005,105.90053,2.5656355000000004,4.807000000000001,418.0
(K0.44Na0.52Li0.04)(Nb0.84Ta0.10Sb0.06)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.04,0.0,0.52,0.84,3.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.0,36.176280000000006,105.66400000000003,2.5641200000000004,4.800000000000001,416.0
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3 ,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.4648,0.002,0.0,0.5132,0.9119999999999999,3.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.04,35.27856559999999,106.13216,2.5663144,4.808,380.0
0.97(K0.5Na0.5)(Nb0.96Sb0.04)O3-0.03(Bi0.5Na0.5)(Zr0.8Ti0.2)O3 ,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.0,0.5,0.9311999999999999,3.0,0.0,0.0388,0.0,0.0,0.0,0.006,0.0,0.024,35.06235599999999,106.30883999999999,2.5647239999999996,4.805999999999999,323.0
0.96(K0.5Na0.5)(Nb0.96Sb0.04)O3-0.02(Bi0.5Na0.5)(Zr0.8Ti0.2)O3-0.02CaZrO3,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.48,0.0,0.0,0.49,0.9216,3.0,0.0,0.0384,0.0,0.0,0.0,0.004,0.0,0.036000000000000004,34.940268,106.37552000000001,2.5633640000000004,4.804,253.0
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035(Bi0.75Ho0.25)0.5Na0.5HfO3,0.0,0.0,0.0,0.0,0.013125000000000001,0.0,0.0,0.0,0.035,0.004375,0.43424999999999997,0.0,0.0,0.54825,0.9263999999999999,3.0,0.0,0.0386,0.0,0.0,0.0,0.0,0.0,0.0,35.61335675,105.91803000000002,2.5649442500000004,4.805250000000001,450.0
0.9575(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.0425[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,0.1292625,0.0,0.0,0.0,0.430875,0.0,0.0,0.0,0.0,0.0,0.4596,0.0,0.0,0.7995125,0.9192,2.8725,0.0,0.0383,0.0,0.0,0.0,0.0,0.0,0.0,48.92069491525424,115.19830508474574,2.4199491525423724,4.52542372881356,425.0
0.99(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.01[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,0.13365000000000002,0.0,0.0,0.0,0.4455,0.0,0.0,0.0,0.0,0.0,0.47519999999999996,0.0,0.0,0.82665,0.9503999999999999,2.9699999999999998,0.0,0.0396,0.0,0.0,0.0,0.0,0.0,0.0,48.92069491525424,115.19830508474577,2.419949152542373,4.52542372881356,182.0
0.98(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.02[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,0.1323,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,0.4704,0.0,0.0,0.8182999999999999,0.9408,2.94,0.0,0.0392,0.0,0.0,0.0,0.0,0.0,0.0,48.92069491525424,115.19830508474574,2.419949152542373,4.52542372881356,215.0
