formula,d33,tc,filler_wt_pct,matrix_type,particle_morphology,particle_size_nm,surface_treatment,fabrication_method,vickers_hardness,qm,kp,relative_density_pct,sintering_temp_c,sintering_method,ceramic_type,source_doi,source_notes
Pb(ZrTi)O3,500,250,0,none,none,-,none,conventional,-,100,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC151 Soft PZT standard actuator material
Pb(ZrTi)O3,400,350,0,none,none,-,none,conventional,-,80,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC255 Soft PZT high Tc
Pb(ZrTi)O3,360,340,0,none,none,-,none,conventional,-,80,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC155 Soft PZT
Pb(ZrTi)O3,600,160,0,none,none,-,none,conventional,-,50,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC153 Soft PZT exceptionally high d33
Pb(ZrTi)O3,240,340,0,none,none,-,none,conventional,-,100,0.48,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC152 Soft PZT
Pb(ZrTi)O3,265,330,0,none,none,-,none,conventional,-,2000,0.56,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC181 Hard PZT extreme mechanical quality factor
Pb(ZrTi)O3,220,320,0,none,none,-,none,conventional,-,400,0.55,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC184 Hard PZT
Pb(ZrTi)O3,225,320,0,none,none,-,none,conventional,-,1000,0.60,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC144 Hard PZT
Pb(ZrTi)O3,300,270,0,none,none,-,none,conventional,-,500,0.55,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC241 Hard PZT
Pb(ZrTi)O3,190,370,0,none,none,-,none,conventional,-,1400,0.47,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC300 Hard PZT high thermal stability
0.7Pb(Mg0.333Nb0.667)O3-0.3PbTiO3,-,-,0,none,none,-,none,conventional,649,-,-,-,-,conventional,soft,https://arxiv.org/pdf/2205.04313,PMN-0.3PT Relaxor Ceramic Vickers Hardness Analysis
