Material Name,Family,Formula,d33_pCN,Youngs_Modulus_Gpa,Density_g_cm3,Tc_C,Qm
PMN-PT (Relaxor),Soft Ceramic,Pb(Mg1/3Nb2/3)0.67Ti0.33O3,100,110,8.11,150 – 160,50 – 80
PMN-PT,Soft Ceramic,0.62Pb(Mg1/3Nb2/3)O3-0.38PbTiO3,1900,115,8.09,187,100 – 150
PMN-PT,Soft Ceramic,0.62Pb(Mg1/3Nb2/3)O3-0.38PbTiO3,1200,115,8.09,187,100 – 150
PT (Lead Titanate),Soft Ceramic,PbTiO3,75,116,7.97,490,150 – 250
PZT / PMN-PHT (Lead-based),Soft Ceramic,Pb(Mg0.15/3Nb0.3/3)(Hf0.38)(Ti0.47)O3,428.3,72,8.05,~250 – 290,~80 – 120
PZT,Soft Ceramic,PbZr0.4Ti0.6O3,528,80,7.98,410 – 425,500
PNN-PHT (Lead-based Relaxor),Soft Ceramic,0.49Pb(Ni1/3Nb2/3)O3–0.51Pb(Hf0.3Ti0.7)O3,957,100,8.25,150,384
BCST / BT (Barium Titanate based),Lead-Free Ceramic,(BaTi0.88Sn0.12)O3–30(Ba0.7Ca0.3)TiO3,530,105,5.85,~50 – 60,150
BCZT,Lead-Free Ceramic,Ba(Zr0.2Ti0.8)TO3–50(Ba0.7Ca0.3)TiO3,620,100,5.8,93,70 – 80
BCST,Lead-Free Ceramic,(Ba0.98Ca0.02)(Ti0.96Sn0.04)O3,510,110,5.95,110 – 115,150
BCST,Lead-Free Ceramic,(Ba0.97Ca0.03)(Ti0.94Sn0.06)O3,440,108,5.92,~85 – 90,180
BCZT,Lead-Free Ceramic,(Ba0.93Ca0.07)(Ti0.95Zr0.05)O3,387,105,5.88,108,200
BNT-BT (or NBT-BT),Lead-Free Ceramic,0.94Na0.5Bi0.5TiO3–0.06BaTiO3,86,105,5.98,325,100 – 150
BCZT,Lead-Free Ceramic,(Ba0.85Ca0.15)(Zr0.1Ti0.9)O3 (BCZT),486,98,5.76,85,75
BCZT,Lead-Free Ceramic,(Ba0.85Ca0.15)(Zr0.1Ti0.9)O3,607,98,5.76,85,75
BNT-BKT-BT (BNT-based),Lead-Free Ceramic,(Bi0.5Na0.5)TiO3 – (Bi0.5K0.5)TiO3 – BaTiO3,169,102,5.95,300,150 – 200
BNT-BKT,Lead-Free Ceramic,((Bi0.5Na0.5)TiO3) - ((Bi0.5K0.5)TiO3),207,108,5.94,~280 – 300,150
BNT-BKT (Doped),Lead-Free Ceramic,"(CeO2) - ((Bi0.5(Na,K)0.5)TiO3)",132,100,6.1,280,300 – 400
BNT-based,Lead-Free Ceramic,(Bi0.5Na0.5)TiO3 – (Bi0.5K0.5)TiO3 – KNbO3,215,104,5.85,310,100
BNT-based,Lead-Free Ceramic,(Bi0.5Na0.5)TiO3 – (Bi0.5K0.5)TiO3 – BiCrO3,168,104,6.05,300,250
KNN,Lead-Free Ceramic,(K0.50Na0.50)NbO3,125,104,4.51,420,90 – 120
KNN-CT,Lead-Free Ceramic,0.96(K0.5Na0.5)NbO3–0.04CaTiO3,222,102,4.49,314,60 – 80
KNN-CZ,Lead-Free Ceramic,0.96(K0.5Na0.5)NbO3–0.04CaZrO3,314,103,4.48,340,70
KNN-CZ,Lead-Free Ceramic,0.96(K0.5Na0.5)NbO3–0.04CaZrO3 + 0.03Zr,160,103,4.5,330,80
KNN-CZ,Lead-Free Ceramic,0.98(K0.5Na0.5)NbO3–0.02CaZrO3 + 0.03ZrO2,130,103,4.52,360,85
KNN,Lead-Free Ceramic,(K0.5Na0.5)NbO3 (CuO doped),86,104,4.55,420,1500 – 2500
KNN,Lead-Free Ceramic,(K0.476Na0.524)NbO3 (CuO doped),146,104,4.53,425,500
KNN-Sb (Modified KNN),Lead-Free Ceramic,K0.5Na0.5Nb0.97Sb0.03O3,218,101,4.58,380,100
AgNbO$_3$ (Silver Niobate based),Lead-Free Ceramic,(Ag0.75Li0.1Na0.1K0.05)NbO3,47,95,5.6,340,220
KNN-LT-Ta (Modified KNN),Lead-Free Ceramic,(Na0.525K0.485)0.95Li0.05(Nb0.8Ta0.2)O3,176,100,4.95,250,82
KNN (Pure),Lead-Free Ceramic,K0.5Na0.5NbO3 (undoped),97,104,4.26,420,90 – 120
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = Mg2+",98,102,4.11,406,200
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = Ca2+",95,102,4.23,398,100
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = Sr2+",95,101,4.33,397,80
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = Ba2+",176,100,4.24,404,60
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = LiF",164,108,4.9,235,150 – 200
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = ZnO",123,106,4.28,420,300 – 400
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = CuO",82,107,—,421,"1,500 – 2,500"
KNN (Doped),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = GeO2",120,105,4.31,—,250
KNN-BT,Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = BaTiO3",225,98,—,—,30 – 50
KNN-BKT,Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = (Bi,K)TiO3",251,100,4.38,376,60
KNN-LS,Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = LiSbO3",286,96,4.28,385,50
KNN-BZT,Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = Ba(Zr,Ti)O3",243,95,—,318,40
KNN (Complex Doping),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = K4CuNb8O23",103,105,4.51,—,"3,000 – 4,000"
KNN (Complex Doping),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = K1.94Zn1.06Ta5.19O15",126,103,4.53,400,350
KNN (Complex Doping),Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = MnO2–K5.4Cu1.3Ta10O29",90,104,4.65,404,1200
KNN-LS-CT,Lead-Free Ceramic,"K0.5Na0.5NbO3, dopant = LiSbO3–CaTiO3",210,98,4.55,330,70
KNN-BZT,Lead-Free Ceramic,0.95(K0.5Na0.5)NbO3–0.05Ba(Zr0.2Ti0.8)O3,234,94,4.45,318,50
KNN-Sb (Antimony doped),Lead-Free Ceramic,(K0.5Na0.5)(Nb0.92Sb0.08)O3 + 0.02CuO2,122,99,—,320,1200
KNN-Sb (Antimony doped),Lead-Free Ceramic,(K0.5Na0.5)(Nb0.92Sb0.08)O3 + 0.02MnO2,213,99,4.53,320,800
KNN-LT-Ta,Lead-Free Ceramic,(Na0.535K0.485)0.95Li0.05(Nb0.8Ta0.2)O3,250,96,4.41,—,30 – 60
KNN-LN,Lead-Free Ceramic,0.92(Na0.535K0.48)NbO3–0.08LiNbO3,280,102,4.38,50,50
KNN-LT-Ta,Lead-Free Ceramic,(Na0.535K0.485)0.95Li0.05(Nb0.8Ta0.2)O3 + Na2O,230,97,4.92,—,40
KNN-AN,Lead-Free Ceramic,0.95(K0.5Na0.5)NbO3–0.05AgNbO3,186,100,4.65,355,90
KNN-LT-AS,Lead-Free Ceramic,0.93(K0.5Na0.5)NbO3–0.05LiTaO3–0.02AgSbO3,265,95,4.75,235,45
KNN-BS-LT,Lead-Free Ceramic,0.93(K0.5Na0.5)NbO3–0.05BiScO3–0.02LiTaO3,210,95,4.8,340,50
KNN-BS,Lead-Free Ceramic,0.95(K0.5Na0.5)NbO3–0.05BiScO3,253,98,4.7,351,70
KNN-Li-CZ (or KNN-CZ),Lead-Free Ceramic,0.95(K0.5Na0.5)0.95Li0.05NbO3–0.05CaZrO3,216,96,4.55,330,60
KNN-LT-CZ,Lead-Free Ceramic,0.90(K0.5Na0.5)NbO3–0.05LiTaO3–0.05CaZrO3,320,95,4.65,195,55
KNN-LT-Ta,Lead-Free Ceramic,0.93(K0.5Na0.5)0.95Li0.05NbO3–0.05LiSbO3–0.02CaTiO3,210,94,4.68,330,40
KNN,Soft Ceramic,0.92(K0.5Na0.5)0.08Li(Nb0.85Ta0.1Sb0.05)O3–0.05CaTiO3,263,94,4.85,315,35
KNN (Doped),Soft Ceramic,0.95(K0.5Na0.5)NbO3–0.05BaTiO3,225,98,4.6,—,50
KNN (Doped),Soft Ceramic,0.92(K0.5Na0.5)NbO3–0.08BaTiO3,193,96,4.65,314,45
KNN (Doped),Soft Ceramic,0.92(K0.5Na0.5)0.08Li(Nb0.85Ta0.1Sb0.05)O3–0.05BaZrO3,365,93,4.88,175,30
KNN (Doped),Soft Ceramic,0.95(K0.5Na0.5)NbO3–0.05Ba(Zr0.2Ti0.8)O3,234,97,4.62,318,50
KNN (Doped),Soft Ceramic,0.95(K0.5Na0.5)NbO3–0.05SrTiO3,220,102,4.55,—,72
KNN (Doped),Soft Ceramic,0.95(K0.5Na0.5)NbO3–0.05BiFeO3,173,106,4.72,390,—
