formula,d33,tc,filler_wt_pct,matrix_type,particle_morphology,particle_size_nm,surface_treatment,fabrication_method,vickers_hardness,qm,kp,relative_density_pct,sintering_temp_c,sintering_method,ceramic_type,source_doi,source_notes,reference_paper
K0.5Na0.5NbO3,120,420,0,none,none,,none,conventional,-,500,0.35,91,1100,conventional,hard,https://doi.org/10.3390/mi15030325,Micromachines 2024 Lee et al. - KNN baseline: d33=120 Tc=420 Qm=500 kp=0.35 rd=91%,Lee G.-S. et al. Recent Developments in (K Na)NbO3-Based Lead-Free Piezoceramics. Micromachines 2024 15(3):325
K0.5Na0.5NbO3,122,420,0,none,none,,none,two_step,-,76,0.36,95,,two_step,soft,https://www.researchgate.net/publication/229906451_Sintering_Behavior_of_Lead_Free_KNN_Based_Piezoelectric_Ceramics,ResearchGate 2009 - KNN two-step sintering: d33=122 kp=36% Qm=76 rd=95% improved from 91% single-step,Sintering Behavior of Lead Free KNN Based Piezoelectric Ceramics (ResearchGate 2009)
(K0.44Na0.52Li0.04)(Nb0.84Ta0.10Sb0.06)O3,416,253,0,none,none,,none,rtgg,-,-,-,-,,rtgg,soft,https://doi.org/10.1038/nature03028,Saito et al. Nature 2004 - LF4T RTGG textured: d33=416 Tc=253 (landmark lead-free result),Saito Y. et al. Lead-free piezoceramics. Nature 2004 432:84-87
(K0.49Na0.49Li0.02)NbO3,280,430,0,none,none,,none,tgg,-,-,-,-,,tgg,soft,https://doi.org/10.1021/acsami.6b08199,ACS AMI 2017 - TGG textured KNN-Li: d33=280 Tc=430 (high Tc preserved with template grain growth),Karaki T. et al. Pairing High d33 with High TC in Lead-Free (K Na)NbO3. ACS AMI 2017 doi:10.1021/acsami.6b08199
(K0.4425Na0.52Li0.0375)(Nb0.94Sb0.03Ta0.03)O3,313,274,0,none,none,,none,conventional,-,-,0.47,-,1120,conventional,soft,https://doi.org/10.1007/s40145-013-0083-8,J. Adv. Ceram. 2013 - KNLNST: d33=313 kp=0.47 Tc=274 optimal sintering at ~1120C,J. Adv. Ceram. 2013 2(4):353-359 Influence of sintering temperature on KNLNST ceramics
0.91(K0.45Na0.5Li0.05)NbO3-0.08BaZrO3-0.01(Bi0.5Na0.5)TiO3,292,205,0,none,none,,none,conventional,-,-,0.47,98,1020,conventional,soft,https://discovery.researcher.life/article/low-temperature-sintering-of-k-na-li-nbo3-bazro3-bi-na-tio3-ceramics-with-enhanced-dielectric-and-piezoelectric-properties/e890f86b386430bab116db26bb2c1935,researcher.life - KNLN-BZ-BNT +0.4mol%MnO2: d33=292 kp=0.47 Tc=205 rd=98% sintered at 1020C,Low-temperature sintering of KNLN-BaZrO3-BNT ceramics with enhanced piezoelectric properties (journal paper abstract via researcher.life)
(K0.5Na0.5)0.98Li0.02Nb0.82Ta0.18O3,180,310,0,none,none,,none,conventional,-,665,-,-,,conventional,hard,https://doi.org/10.1007/s10853-022-07901-6,J. Mater. Sci. 2022 Wang et al. - LT-KNN + 1mol%CuO hard ceramic: d33=180 Qm=665 Tc~310C; O-T phase boundary with CuO acceptor hardening. Formula is base matrix; CuO additive (1mol%) not in formula string.,Wang T. et al. Significantly enhanced mechanical quality factor with favorable piezoelectricity in K0.5Na0.5NbO3-based ceramics. J. Mater. Sci. 2022 doi:10.1007/s10853-022-07901-6
(K0.41Na0.59)(Nb0.84Sb0.06Ta0.10)O3,265,325,0,none,none,,none,two_step,-,420,0.50,,1050,two_step,hard,https://www.researchgate.net/publication/337304993_Preparation_of_KNN_based_lead-free_piezoelectric_ceramics_via_composition_designing_and_two-step_sintering,ResearchGate 2019 - KNNST + 0.075wt%CuO two-step sintered at 1050C: d33=265 kp=0.50 Qm=420 Tc=325C (Tm dielectric max ≈Tc for KNN-Sb-Ta system). CuO is wt% additive not in formula.,Preparation of KNN based lead-free piezoelectric ceramics via composition designing and two-step sintering. ResearchGate/journal 2019
0.96(K0.455Na0.535)(Nb0.95Sb0.05)O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,498,,0,none,none,,none,conventional,-,-,0.45,,1085,conventional,soft,https://pmc.ncbi.nlm.nih.gov/articles/PMC8999766/,PMC 2022 - KNNS-BNKZ at x=0.005 sintered 1085C: d33=498 kp=0.45 large abnormal grain growth 83% tetragonal phase fraction. Tc not stated in source.,Grain Growth Behavior and Electrical Properties of 0.96(K0.46-xNa0.54-x)Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3 Ceramics. Applied Sciences (MDPI) 2022 PMC8999766
K0.5Na0.5NbO3,123,,0,none,none,,none,cold_sinter,-,-,-,-,,cold_sinter,soft,https://www.sciencedirect.com/science/article/abs/pii/S0955221922007373,Ceram. Int. 2022 - KNN cold-sintering assisted (NaOH/KOH transient liquid): d33=123 pC/N εr=609 tanδ=0.021 Pr=28 μC/cm² densification in wide 800-1000°C window. Tc not confirmed in snippet.,Dense K0.5Na0.5NbO3 ceramics via cold-sintering assisted sintering with enhanced electrical properties. Ceram. Int. 2022 doi:10.1016/j.ceramint.2022.10.106 (URL confirmed; DOI format inferred from ScienceDirect pii S0955221922007373)
