Component,d33 (pC/N)
KNbO3,66.4
Na0.55K0.45NbO3,141.3
0.965K0.45Na0.55Nb0.93Sb0.07O3-0.035Bi0.5Na0.5HfO3,408.0
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035Bi0.5Na0.5HfO3,418.0
(K0.44Na0.52Li0.04)(Nb0.84Ta0.10Sb0.06)O3,416.0
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3 ,380.0
0.9575(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.0425Bi0.5Ag0.5ZrO3,490.0
0.97(K0.5Na0.5)(Nb0.96Sb0.04)O3-0.03(Bi0.5Na0.5)(Zr0.8Ti0.2)O3 ,323.0
0.96(K0.5Na0.5)(Nb0.96Sb0.04)O3-0.02(Bi0.5Na0.5)(Zr0.8Ti0.2)O3-0.02CaZrO3,253.0
0.955(K0.5Na0.5)(Nb0.965Sb0.035)O3-0.045(Bi0.9Al0.1)Na0.5ZrO3,570.0
 0.95(K0.45Na0.55)Nb1.01O3–0.05Bi0.5Na0.5HfO3 ,425.0
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035(Bi0.75Ho0.25)0.5Na0.5HfO3,450.0
0.9575(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.0425[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,425.0
0.99(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.01[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,182.0
0.98(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.02[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,215.0
0.97(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.03[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,274.0
0.965(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.035[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,312.0
0.96(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.04[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,355.0
0.955(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.045[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,360.0
0.95(K0.48Na0.52)(Nb0.96Sb0.04)O3–0.05[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,290.0
K0.5Na0.5NbO3,151.0
Li0.04(Na0.5K0.5)0.96NbO3,145.0
Li0.06(Na0.5K0.5)0.94NbO3,210.0
0.96K0.48Na0.52Nb0.96Sb0.04O3-0.04Bi0.525Na0.5ZrO3 ,522.0
0.96(K0.5Na0.5)(Nb0.965Sb0.035)O3 - 0.04(Bi0.5Na0.5)HfO3,353.0
0.97(K0.48Na0.52)(Nb0.96Sb0.04)O3-0.03Ba0.2(Bi0.5Ag0.5)0.8ZrO3,406.0
0.954K0.48Na0.52NbO3–0.006BiFeO3–0.04Bi0.5Na0.5ZrO3,428.0
(K0.5Na0.5)0.97Ag0.03NbO3 ,149.0
0.95K0.45Na0.55NbO3-0.05Bi0.5Na0.5HfO3,385.0
0.958K0.40Na0.60NbO3-0.012BiScO3-0.03Bi0.5(Na0.6K0.3Li0.1)0.5HfO3,362.0
0.95(K0.6Na0.4)NbO3-0.05(Bi0.5Na0.5)ZrO3,382.0
0.99(K0.48Na0.52)(Nb0.97Sb0.03)O3 - 0.01(Bi0.5Zn0.25)ZrO3 ,308.0
K0.622Na0.378NbO3,161.0
 0.96K0.46Na0.54Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465.0
0.948(K0.5Na0.5)NbO3–0.052LiSbO3,265.0
0.96K0.48Na0.52NbO3-0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3-0.01B0.5Na0.5TiO3,285.0
0.88K0.5Na0.5NbO3-0.05CaZrO3-0.07LiNbO3 ,216.0
0.96K0.5Na0.5NbO3-0.04CaZrO3,154.0
0.95(K0.42Na0.58)NbO3-0.05LiSbO3,270.0
Na0.5K0.5NbO3,148.0
KNbO3,74.0
Li0.02K0.98NbO3,82.0
Li0.04K0.96NbO3,81.0
Li0.06K0.94NbO3,40.0
0.96K0.46Na0.54Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465.0
0.94(K0.34Na0.6Ba0.06Nb0.96Zr0.06)O3–0.06LiSbO3,344.0
(K0.44Na0.52Li0.04)(Nb0.86Ta0.10Sb0.04)O3,416.0
(K0.44Na0.52Li0.04)(Nb0.84Ta0.1Sb0.06)O3,345.0
(K0.45Na0.55)0.98Li0.02(Nb0.77Ta0.18Sb0.05)O3,413.0
(K0.52Na0.40)(Nb0.83Sb0.09)O3–0.08LiTaO3,400.0
(Na0.52K0.48)(Nb0.91Sb0.01)O3,230.0
K0.334Na0.666NbO3,105.0
K0.455Na0.545NbO3,142.0
0.94(K0.40Na0.60)NbO3–0.06LiSbO3,280.0
(Na0.52K0.44Li0.04)Nb0.87Sb0.08Ta0.05O3,376.0
K0.538Na0.462NbO3,145.0
(K0.50Na0.50)0.97Bi0.01(Nb0.98Zr0.02)O3,161.0
K0.882Na0.118NbO3,110.0
0.92Na0.535K0.48NbO3–0.08LiNbO3,280.0
0.95(K0.48Na0.52)NbO3–0.05LiSbO3,270.0
[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3,298.0
Na0.5K0.5Nb0.995Mn0.005O3,161.0
0.94K0.5Na0.5NbO3–0.04LiSbO3,212.0
0.97K0.40Na0.60Nb0.965Sb0.035O3–0.03Bi0.5Li0.5ZrO3,400.0
0.955(K0.48Na0.52)(Nb0.95Ta0.05)O3–0.045Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3 ,290.0
 (K0.44Na0.52Li0.04)(Nb0.85Ta0.15)O3,291.0
(Li0.04Na0.48K0.48)(Nb0.80Ta0.20)O3,215.0
0.97(Na0.5K0.5)NbO3–0.03(Ba0.95Sr0.05)TiO3,136.0
0.96K0.5Na0.5NbO3–0.04CaZrO3,145.0
0.955K0.48Na0.52NbO3-0.005BiScO3-0.04Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3,366.0
(K0.48Na0.52)(Nb0.93Sb0.07)O3 ,210.0
0.98(Na0.5K0.5)NbO3–0.02BiScO3,210.0
0.97(K0.5Na0.5)NbO3–0.03(Bi0.5Na0.5)TiO3,195.0
0.95(Na0.5K0.5)NbO3–0.05SrTiO3,195.0
0.95(Na0.5K0.5)NbO3–0.05CaTiO3,241.0
0.9825K0.5Na0.5NbO3–0.0175BiScO3,253.0
0.99(Na0.5K0.5)NbO3–0.01BiAlO3,220.0
0.99(Na0.5K0.5)NbO3–0.01BiScO3,165.0
0.95(0.995Na0.5K0.5NbO3–0.005BiFeO3)–0.05LiSbO3,257.0
0.992(0.95K0.5Na0.5NbO3–0.05LiSbO3)–0.008BiScO3,305.0
0.96(0.99K0.5Na0.5NbO3–0.01Bi0.5Na0.5TiO3)–0.04LiSbO3,250.0
0.95(K0.40Na0.60)NbO3–0.05LiSbO3,280.0
0.95(K0.45Na0.55)NbO3–0.04Bi0.5Na0.5ZrO3–0.01BaHfO3–0.002MnO2,385.0
0.96(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3-0.04BaZrO3,425.0
0.96(K0.5Na0.5)0.95Li0.05Nb0.96Sb0.04O3-0.04BaZrO3,223.0
