formula,d33,tc,filler_wt_pct,matrix_type,particle_morphology,particle_size_nm,surface_treatment,fabrication_method,vickers_hardness,qm,kp,relative_density_pct,sintering_temp_c,sintering_method,ceramic_type,source_doi,source_notes
Pb0.99[Zr0.45Ti0.47(Ni0.33Sb0.67)0.08]O3,500,250,0,none,none,-,none,conventional,-,100,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC151 Soft PZT standard actuator material
Pb0.94Sr0.06(Zr0.52Ti0.48)O3,400,350,1,none,none,-,none,conventional,-,80,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC255 Soft PZT high Tc
Pb0.99[Zr0.45Ti0.47(Ni0.33Sb0.67)0.08]O3,360,340,0,none,none,-,none,conventional,-,80,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC155 Soft PZT
Pb0.94Sr0.06(Zr0.52Ti0.48)O3,600,160,0,none,none,-,none,conventional,-,50,0.62,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC153 Soft PZT exceptionally high d33
Pb(Zr0.52Ti0.48)O3-Fe2O3,240,340,0.5,none,none,-,none,conventional,-,100,0.48,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC152 Soft PZT
Pb(Zr0.52Ti0.48)O3,265,330,0,none,none,-,none,conventional,-,2000,0.56,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC181 Hard PZT extreme mechanical quality factor
Pb(Zr0.52Ti0.48)O3,220,320,0,none,none,-,none,conventional,-,400,0.55,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC184 Hard PZT
Pb(Zr0.52Ti0.48)O3,225,320,0,none,none,-,none,conventional,-,1000,0.60,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC144 Hard PZT
Pb(Zr0.54Ti0.46)O3,300,270,0,none,none,-,none,conventional,-,500,0.55,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC241 Hard PZT
Pb(Zr0.58Ti0.42)O3,190,370,0,none,none,-,none,conventional,-,1400,0.47,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC300 Hard PZT high thermal stability
0.7Pb(Mg0.333Nb0.667)O3-0.3PbTiO3,-,-,0,none,none,-,none,conventional,649,-,-,-,-,conventional,soft,https://arxiv.org/pdf/2205.04313,PMN-0.3PT Relaxor Ceramic Vickers Hardness Analysis
Pb(Zr0.52Ti0.48)O3,254,-,0,none,none,-,none,conventional,254,-,-,-,-,conventional,soft,https://www.researchgate.net/figure/ckers-hardness-and-fracture-toughness-of-PZT-ZnO-ceramics_fig4_232975761,Pure PZT Baseline for Hardness
0.999Pb(Zr0.52Ti0.48)O3-0.001ZnO,320,335,0,none,none,-,none,conventional,360,-,-,99,1200,conventional,hard,https://www.researchgate.net/figure/ckers-hardness-and-fracture-toughness-of-PZT-ZnO-ceramics_fig4_232975761,0.1 wt percent ZnO doped PZT Hardness and Density
0.2Pb((Zn0.8Ni0.2)0.333Nb0.667)O3-0.8Pb(Zr0.5Ti0.5)O3,500,-,0,none,none,-,none,conventional,-,-,0.63,-,875,conventional,soft,https://www.mdpi.com/1996-1944/14/19/5795,Li2CO3 added low temp sintered PZT Relaxor
Pb(Zr0.52Ti0.48)0.99La0.01O3,372,315,0,none,none,-,none,conventional,2.8,45,0.510,90,1250,conventional,soft,https://www.researchgate.net/publication/331744165,La-doped PZT
Pb(Zr0.52Ti0.48)O3-0.002Li2CO3,701,226,0,none,none,-,none,conventional,340,71,0.667,7.7,980,conventional,soft,https://pdfs.semanticscholar.org/acee/f92132a94e9a4f29a207bc8760f043846ccc.pdf,0.2wt percent Li2CO3 modified soft PZT
BaTiO3,190,-,0,none,none,-,none,conventional,160,-,0.50,-,-,conventional,soft,https://research.aalto.fi/files/176019015/s10999-024-09731-7-1.pdf,Bulk BaTiO3 properties
PbTiZrO5,270,-,0,none,none,-,none,conventional,-,-,0.21,-,-,conventional,soft,https://research.aalto.fi/files/176019015/s10999-024-09731-7-1.pdf,Bulk PbTiZrO5 variant
0.8BaTiO3-0.2(Bi0.5K0.5)TiO3-0.001MnCO3,-,200,0,none,none,-,none,conventional,-,-,0.35,-,-,conventional,hard,http://web1.see.asso.fr/electroceramics/html/cdrom/pdf/Papers/C07-01-Inv.pdf,BTBK-20 Mn doped piezoelectric ceramic
Sr0.92Gd0.053Bi4Ti4O15-0.002Cr2O3,28,555,0,none,none,-,none,conventional,-,-,0.0635,-,-,conventional,hard,https://mdpi-res.com/bookfiles/book/6747/Microstructural_Design_and_Processing_Control_of_Advanced_Ceramics.pdf,Cr2O3 modified SBT high temperature piezoelectric
(K0.5Na0.5)NbO3,180,212,0,none,none,-,none,conventional,4.3,100,0.52,4.45,1080,conventional,soft,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF22 KNN soft piezoceramic commercial grade
(K0.44Na0.52Li0.04)(Nb0.84Ta0.10Sb0.06)O3,300,150,0,none,none,-,none,conventional,3.8,50,0.58,4.7,1100,conventional,soft,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF41 KNN soft piezoceramic high sensitivity
(K0.48Na0.52)NbO3,270,250,0,none,none,-,none,conventional,4.1,200,0.55,4.51,1120,conventional,soft,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz62 KNN soft piezoceramic high curie temp
(K0.48Na0.52)NbO3-0.01CuO,120,290,0,none,none,-,none,conventional,4.8,725,0.48,4.55,1080,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF51 KNN hard piezoceramic actuator
